HASIL TRACKING BESARAN LISTIK
time 	V1 	V2 	V3 	V4 	I1 	I2 	I3 	I4 	Ic
0.0000 	5.0000 	2.0000 	1.0000 	0.0000 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0010 	5.0000 	2.0016 	1.0008 	0.0040 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0020 	5.0000 	2.0032 	1.0016 	0.0080 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0030 	5.0000 	2.0048 	1.0024 	0.0120 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0040 	5.0000 	2.0064 	1.0032 	0.0160 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0050 	5.0000 	2.0080 	1.0040 	0.0199 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0060 	5.0000 	2.0096 	1.0048 	0.0239 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0070 	5.0000 	2.0112 	1.0056 	0.0279 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0080 	5.0000 	2.0127 	1.0064 	0.0318 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0090 	5.0000 	2.0143 	1.0072 	0.0358 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0100 	5.0000 	2.0159 	1.0080 	0.0398 	0.0060 	0.0040 	0.0020 	0.0020 	0.0040
0.0110 	5.0000 	2.0175 	1.0087 	0.0437 	0.0060 	0.0039 	0.0020 	0.0020 	0.0039
0.0120 	5.0000 	2.0191 	1.0095 	0.0477 	0.0060 	0.0039 	0.0020 	0.0020 	0.0039
0.0130 	5.0000 	2.0206 	1.0103 	0.0516 	0.0060 	0.0039 	0.0020 	0.0020 	0.0039
0.0140 	5.0000 	2.0222 	1.0111 	0.0555 	0.0060 	0.0039 	0.0020 	0.0020 	0.0039
0.0150 	5.0000 	2.0238 	1.0119 	0.0595 	0.0060 	0.0039 	0.0020 	0.0020 	0.0039
0.0160 	5.0000 	2.0254 	1.0127 	0.0634 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0170 	5.0000 	2.0269 	1.0135 	0.0673 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0180 	5.0000 	2.0285 	1.0142 	0.0712 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0190 	5.0000 	2.0301 	1.0150 	0.0751 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0200 	5.0000 	2.0316 	1.0158 	0.0790 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0210 	5.0000 	2.0332 	1.0166 	0.0830 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0220 	5.0000 	2.0347 	1.0174 	0.0868 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0230 	5.0000 	2.0363 	1.0181 	0.0907 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0240 	5.0000 	2.0379 	1.0189 	0.0946 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0250 	5.0000 	2.0394 	1.0197 	0.0985 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0260 	5.0000 	2.0410 	1.0205 	0.1024 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0270 	5.0000 	2.0425 	1.0213 	0.1063 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0280 	5.0000 	2.0441 	1.0220 	0.1101 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0290 	5.0000 	2.0456 	1.0228 	0.1140 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0300 	5.0000 	2.0471 	1.0236 	0.1179 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0310 	5.0000 	2.0487 	1.0243 	0.1217 	0.0059 	0.0039 	0.0020 	0.0020 	0.0039
0.0320 	5.0000 	2.0502 	1.0251 	0.1256 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0330 	5.0000 	2.0518 	1.0259 	0.1294 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0340 	5.0000 	2.0533 	1.0267 	0.1333 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0350 	5.0000 	2.0548 	1.0274 	0.1371 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0360 	5.0000 	2.0564 	1.0282 	0.1409 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0370 	5.0000 	2.0579 	1.0290 	0.1448 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0380 	5.0000 	2.0594 	1.0297 	0.1486 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0390 	5.0000 	2.0610 	1.0305 	0.1524 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0400 	5.0000 	2.0625 	1.0312 	0.1562 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0410 	5.0000 	2.0640 	1.0320 	0.1600 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0420 	5.0000 	2.0655 	1.0328 	0.1638 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0430 	5.0000 	2.0671 	1.0335 	0.1676 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0440 	5.0000 	2.0686 	1.0343 	0.1714 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0450 	5.0000 	2.0701 	1.0350 	0.1752 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0460 	5.0000 	2.0716 	1.0358 	0.1790 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0470 	5.0000 	2.0731 	1.0366 	0.1828 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0480 	5.0000 	2.0746 	1.0373 	0.1866 	0.0059 	0.0038 	0.0021 	0.0021 	0.0038
0.0490 	5.0000 	2.0761 	1.0381 	0.1903 	0.0058 	0.0038 	0.0021 	0.0021 	0.0038
0.0500 	5.0000 	2.0776 	1.0388 	0.1941 	0.0058 	0.0038 	0.0021 	0.0021 	0.0038
0.0510 	5.0000 	2.0792 	1.0396 	0.1979 	0.0058 	0.0038 	0.0021 	0.0021 	0.0038
